missing,missing_pct
169916.0,22.85
169916.0,22.85
169916.0,22.85
169916.0,22.85
169916.0,22.85
3772.0,0.51
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
